"word","n"
"buck",427
"eddie",419
"love",304
"gayfirefightershow",258
"karen",217
"henren",197
"hen",196
"mom",177
"maddie",153
"i’m",134
"bobby",127
"crying",123
"scene",116
"sad",100
"cute",99
"time",97
"week",81
"buckley",77
"cry",75
"life",72
"athena",70
"kids",70
"stop",70
"911",69
"lucy",69
"happy",68
"omg",68
"wedding",67
"girl",64
"kid",64
"god",62
"heart",62
"live",61
"siblings",61
"watching",61
"madney",58
"song",57
"amp",56
"nash",56
"can’t",55
"damn",55
"girls",54
"it’s",54
"raised",54
"fomo",51
"watch",51
"besties",50
"day",50
"lol",49
"mother",49
"3",48
"jee",48
"she’s",48
"anymore",47
"groom",47
"bad",46
"catch",46
"9",45
"call",45
"chimney",45
"crypto",45
"die",45
"don’t",45
"fuck",45
"tears",45
"feel",44
"that’s",44
"baby",43
"purse",42
"thief",42
"captain",41
"hate",41
"scenes",40
"talking",40
"he’s",38
"wait",38
"y’all",38
"car",37
"doesn’t",37
"influencer",37
