word,n
118,61
ass,99
athena,86
baby,78
bad,72
besties,71
bobby,414
boy,60
break,105
buck,763
buddie,120
chimney,459
chris,98
complex,72
crazy,78
crying,62
dad,97
damn,104
day,69
diaz,62
die,64
duo,68
eddie,816
family,120
finale,76
friendship,99
fuck,304
gayfirefightershow,307
god,193
hate,82
heart,130
hell,79
hen,975
hero,132
it’s,114
jee,78
jonah,655
jump,60
karen,149
kid,69
killer,80
leave,65
life,98
literally,90
lol,60
love,422
lucy,66
maddie,105
monday,67
omg,102
people,94
ramon,83
ravi,77
record,64
run,102
serial,76
shit,105
stop,81
story,200
taylor,622
team,70
texas,60
time,132
trust,74
wait,71
watch,163
yeah,62
