"word","n"
"hen",975
"buck",763
"eddie",756
"jonah",655
"taylor",622
"chimney",459
"love",422
"bobby",414
"gayfirefightershow",307
"i’m",261
"story",200
"god",193
"amp",176
"season",164
"fuck",156
"karen",149
"fucking",148
"911",146
"hero",132
"time",132
"heart",130
"he’s",121
"buddie",120
"family",120
"it’s",114
"don’t",106
"break",105
"maddie",105
"shit",105
"damn",104
"omg",102
"run",102
"scene",100
"ass",99
"can’t",99
"friendship",99
"chris",98
"life",98
"dad",97
"people",94
"you’re",94
"week",93
"literally",90
"athena",86
"9",85
"ramon",83
"hate",82
"watch",82
"stop",81
"watching",81
"killer",80
"hell",79
"baby",78
"crazy",78
"jee",78
"ravi",77
"finale",76
"serial",76
"trust",74
"bad",72
"complex",72
"besties",71
"hope",71
"wait",71
"team",70
"day",69
"kid",69
"duo",68
"monday",67
"lucy",66
"leave",65
"die",64
"record",64
"crying",62
"diaz",62
"yeah",62
"118",61
"boy",60
"eddie’s",60
"jump",60
"lol",60
"texas",60
